Número de canal	Impulsos
Canal/#	Impulsos/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	7
163	37
164	98
165	224
166	366
167	463
168	552
169	711
170	772
171	839
172	942
173	1007
174	1219
175	1226
176	1419
177	1549
178	1715
179	1843
180	1998
181	2205
182	2416
183	2549
184	2752
185	2934
186	3190
187	3453
188	3636
189	3873
190	4247
191	4436
192	4783
193	4858
194	5127
195	5460
196	5793
197	5928
198	6261
199	6197
200	6583
201	6563
202	6748
203	6875
204	7135
205	7032
206	7011
207	7192
208	7162
209	7106
210	6836
211	6816
212	6567
213	6509
214	6464
215	6219
216	5976
217	5854
218	5647
219	5434
220	5155
221	4877
222	4757
223	4493
224	4186
225	3990
226	3801
227	3664
228	3366
229	3243
230	2945
231	2793
232	2751
233	2601
234	2376
235	2290
236	2234
237	2083
238	2021
239	1816
240	1735
241	1723
242	1667
243	1584
244	1487
245	1409
246	1376
247	1275
248	1316
249	1199
250	1083
251	1145
252	1007
253	1017
254	922
255	876
256	873
257	769
258	762
259	742
260	638
261	584
262	597
263	518
264	489
265	479
266	395
267	398
268	344
269	348
270	307
271	293
272	286
273	237
274	243
275	225
276	175
277	186
278	160
279	170
280	141
281	138
282	146
283	134
284	120
285	119
286	94
287	92
288	111
289	96
290	96
291	94
292	87
293	83
294	86
295	80
296	76
297	93
298	70
299	75
300	88
301	91
302	85
303	79
304	87
305	72
306	91
307	83
308	76
309	75
310	95
311	100
312	78
313	82
314	89
315	87
316	80
317	91
318	77
319	93
320	99
321	94
322	116
323	93
324	84
325	105
326	117
327	89
328	99
329	101
330	89
331	106
332	101
333	108
334	117
335	110
336	115
337	108
338	112
339	102
340	143
341	133
342	116
343	120
344	139
345	129
346	147
347	145
348	134
349	152
350	145
351	152
352	133
353	162
354	153
355	138
356	154
357	160
358	158
359	175
360	180
361	175
362	171
363	161
364	172
365	163
366	181
367	180
368	188
369	175
370	193
371	191
372	205
373	177
374	189
375	190
376	206
377	184
378	232
379	185
380	211
381	214
382	232
383	215
384	209
385	207
386	235
387	203
388	237
389	229
390	227
391	245
392	241
393	224
394	273
395	229
396	233
397	219
398	222
399	247
400	243
401	253
402	239
403	244
404	226
405	229
406	241
407	220
408	195
409	233
410	205
411	220
412	205
413	201
414	192
415	189
416	185
417	199
418	201
419	199
420	185
421	179
422	166
423	176
424	162
425	163
426	169
427	148
428	171
429	157
