Mar 13 2018      5:33:01 pm     Elt: 003247 Seconds.  Real Time: 003168
ID: No spectrum identifier defined
Memory Size: 2048 Chls  Conversion Gain: 2048  Adc Offset: 0000 Chls

 Chn    Counts  ROI
   0     1856  000
   1     1796  000
   2     1750  000
   3     1771  000
   4     1633  000
   5     1720  000
   6     1843  000
   7     1731  000
   8     1759  000
   9     1793  000
  10     1729  000
  11     1912  000
  12     1683  000
  13     1647  000
  14     1543  000
  15     1490  000
  16     1431  000
  17     1270  000
  18     1247  000
  19     1159  000
  20     1187  000
  21     1224  000
  22     1145  000
  23     1201  000
  24     1200  000
  25     1379  000
  26     1578  000
  27     1846  000
  28     2069  000
  29     2197  000
  30     1906  000
  31     1628  000
  32     1192  000
  33     1008  000
  34      804  000
  35      662  000
  36      473  000
  37      395  000
  38      322  000
  39      294  000
  40      234  000
  41      221  000
  42      172  000
  43      208  000
  44      174  000
  45      168  000
  46      178  000
  47      196  000
  48      135  000
  49      154  000
  50      139  000
  51      148  000
  52      127  000
  53      156  000
  54      165  000
  55      140  000
  56      146  000
  57      125  000
  58      141  000
  59      124  000
  60      124  000
  61      122  000
  62      131  000
  63      128  000
  64      113  000
  65      120  000
  66      135  000
  67      123  000
  68      123  000
  69      134  000
  70      132  000
  71      128  000
  72      100  000
  73      130  000
  74      115  000
  75      130  000
  76       97  000
  77      117  000
  78      113  000
  79      106  000
  80      107  000
  81      117  000
  82      111  000
  83      113  000
  84      113  000
  85      116  000
  86      119  000
  87       92  000
  88      111  000
  89      111  000
  90      116  000
  91       99  000
  92       93  000
  93      105  000
  94      111  000
  95      112  000
  96       89  000
  97      103  000
  98      108  000
  99      132  000
 100      111  000
 101       85  000
 102      104  000
 103       96  000
 104       99  000
 105      101  000
 106      116  000
 107      106  000
 108      116  000
 109      117  000
 110       89  000
 111       94  000
 112       95  000
 113      104  000
 114      100  000
 115      104  000
 116       88  000
 117       85  000
 118      110  000
 119       93  000
 120       99  000
 121      110  000
 122      108  000
 123      113  000
 124      104  000
 125      106  000
 126      107  000
 127      105  000
 128       94  000
 129      114  000
 130      101  000
 131      117  000
 132      104  000
 133      110  000
 134       99  000
 135       86  000
 136      112  000
 137      106  000
 138      109  000
 139       94  000
 140       97  000
 141      115  000
 142      103  000
 143      105  000
 144       95  000
 145       91  000
 146      103  000
 147       98  000
 148      124  000
 149      112  000
 150      116  000
 151      135  000
 152      100  000
 153      115  000
 154      102  000
 155      126  000
 156      116  000
 157      105  000
 158      110  000
 159      119  000
 160      127  000
 161      138  000
 162      127  000
 163      156  000
 164      130  000
 165      141  000
 166      147  000
 167      144  000
 168      146  000
 169      159  000
 170      145  000
 171      143  000
 172      139  000
 173      154  000
 174      144  000
 175      164  000
 176      148  000
 177      138  000
 178      184  000
 179      153  000
 180      158  000
 181      150  000
 182      172  000
 183      155  000
 184      164  000
 185      170  000
 186      172  000
 187      204  000
 188      181  000
 189      179  000
 190      160  000
 191      182  000
 192      161  000
 193      170  000
 194      172  000
 195      169  000
 196      170  000
 197      184  000
 198      210  000
 199      201  000
 200      207  000
 201      204  000
 202      181  000
 203      196  000
 204      169  000
 205      211  000
 206      222  000
 207      197  000
 208      188  000
 209      180  000
 210      208  000
 211      191  000
 212      212  000
 213      202  000
 214      179  000
 215      226  000
 216      211  000
 217      202  000
 218      184  000
 219      191  000
 220      201  000
 221      178  000
 222      185  000
 223      201  000
 224      185  000
 225      224  000
 226      174  000
 227      190  000
 228      155  000
 229      199  000
 230      177  000
 231      182  000
 232      158  000
 233      155  000
 234      175  000
 235      185  000
 236      164  000
 237      198  000
 238      175  000
 239      173  000
 240      184  000
 241      165  000
 242      165  000
 243      153  000
 244      174  000
 245      163  000
 246      172  000
 247      191  000
 248      165  000
 249      180  000
 250      185  000
 251      164  000
 252      176  000
 253      170  000
 254      161  000
 255      163  000
 256      143  000
 257      156  000
 258      165  000
 259      137  000
 260      168  000
 261      167  000
 262      145  000
 263      158  000
 264      160  000
 265      159  000
 266      144  000
 267      181  000
 268      147  000
 269      160  000
 270      135  000
 271      153  000
 272      167  000
 273      149  000
 274      149  000
 275      145  000
 276      144  000
 277      180  000
 278      168  000
 279      163  000
 280      151  000
 281      162  000
 282      141  000
 283      142  000
 284      137  000
 285      138  000
 286      174  000
 287      138  000
 288      152  000
 289      138  000
 290      165  000
 291      135  000
 292      152  000
 293      150  000
 294      146  000
 295      146  000
 296      135  000
 297      151  000
 298      134  000
 299      139  000
